id,createdAt,updatedAt,publishedAt,revisedAt,title,author,cover,genre,tag,status,rating,isFavorable
tvati7ejpxb,2026-06-23T13:54:47.047Z,2026-06-23T13:54:47.047Z,2026-06-23T13:54:47.047Z,2026-06-23T13:54:47.047Z,作って学ぶブラウザのしくみ,土井麻未,[object Object],プログラミング,ブラウザ;web;Rust,unread,,false
yhw9fph9-mc,2026-06-23T13:53:51.322Z,2026-06-23T13:53:51.322Z,2026-06-23T13:53:51.322Z,2026-06-23T13:53:51.322Z,クリーンアーキテクチャ,Robert C.Martin ,[object Object],プログラミング,アーキテクチャ;プログラミング;,unread,,false
e9n7pcxckda,2026-06-23T13:52:50.831Z,2026-06-23T13:52:50.831Z,2026-06-23T13:52:50.831Z,2026-06-23T13:52:50.831Z,Docker実践ガイド,古賀政純,[object Object],プログラミング,プログラミング;Docker;,unread,,false
n6-3do6rrn,2026-06-23T13:51:48.076Z,2026-06-23T13:51:48.076Z,2026-06-23T13:51:48.076Z,2026-06-23T13:51:48.076Z,プロになるためのWeb技術入門,小森 裕介,[object Object],プログラミング,プログラミング;web,unread,,false
wocgtkfqy5,2026-06-17T10:45:13.285Z,2026-06-17T10:45:13.285Z,2026-06-17T10:45:13.285Z,2026-06-17T10:45:13.285Z,現代数学入門,遠山啓,[object Object],数学,数学;数学史;現代数学,unread,,false
w2_kfdrx72,2026-06-15T02:14:28.981Z,2026-06-15T02:14:28.981Z,2026-06-15T02:14:28.981Z,2026-06-15T02:14:28.981Z,PLURALITY　対立を創造に変える、協働テクノロジーと民主主義の未来,オードリー・タン　E・グレン・ワイル,[object Object],経済学,経済学;政治学;データ;テクノロジー,unread,,false
wns9gfqtk5is,2026-06-14T16:23:02.062Z,2026-06-14T16:23:02.062Z,2026-06-14T16:23:02.062Z,2026-06-14T16:23:02.062Z,超成熟社会発展の経済学,樋口美雄 駒村康平 齋藤潤,[object Object],経済学,経済学,unread,,false
h2thw_cdcqsu,2026-06-14T16:21:51.611Z,2026-06-14T16:21:51.611Z,2026-06-14T16:21:51.611Z,2026-06-14T16:21:51.611Z,原因を推論する,久米郁男,[object Object],思考法,政治学;思考法;因果推論,unread,,false
11dgf93l9hbn,2026-06-14T16:21:11.910Z,2026-06-14T16:21:11.910Z,2026-06-14T16:21:11.910Z,2026-06-14T16:21:11.910Z,世界史の新常識,文藝春秋編,[object Object],歴史学,歴史学;政治学,unread,,false
raohj22her,2026-06-14T16:05:50.889Z,2026-06-14T16:05:50.889Z,2026-06-14T16:05:50.889Z,2026-06-14T16:05:50.889Z,社会科学入門,奥和義 高瀬武典 松元雅和 杉本竜也,[object Object],その他,社会科学;経済学;社会学;政治学,unread,,false
la02izw760u,2026-06-14T16:04:22.617Z,2026-06-14T16:04:22.617Z,2026-06-14T16:04:22.617Z,2026-06-14T16:04:22.617Z,マキャヴェッリと『君主論』,佐々木毅,[object Object],政治学,政治学;マキャヴェッリ,unread,,false
3-yi8f8nk7xf,2026-06-14T16:00:20.676Z,2026-06-14T16:00:20.676Z,2026-06-14T16:00:20.676Z,2026-06-14T16:00:20.676Z,知識経済の形成,ジョエル・モキイア,[object Object],経済学,経済学;歴史;経済史,unread,,false
mvc1zinrp_9,2026-06-14T15:59:31.378Z,2026-06-14T15:59:31.378Z,2026-06-14T15:59:31.378Z,2026-06-14T15:59:31.378Z,完全独習ベイズ統計学入門,小島 寛之,[object Object],数学,統計学;数学;ベイズ統計,unread,,false
uomhfzgagy,2026-06-14T15:58:34.101Z,2026-06-14T15:58:34.101Z,2026-06-14T15:58:34.101Z,2026-06-14T15:58:34.101Z,本を読めなくなった人たち,稲田豊史,[object Object],その他,現代社会;社会学,unread,,false
1q87qsap7o2,2026-06-14T15:57:46.490Z,2026-06-14T15:57:46.490Z,2026-06-14T15:57:46.490Z,2026-06-14T15:57:46.490Z,天然知能,郡司ペギオ幸夫,[object Object],生物学,,unread,,false
vbw2ti_4y4,2026-06-14T15:57:12.598Z,2026-06-14T15:57:12.598Z,2026-06-14T15:57:12.598Z,2026-06-14T15:57:12.598Z,財務会計の思考法,田口聡志,[object Object],経営学,財務会計;経営学,unread,,false
ww1rp47qi,2026-06-14T15:56:38.444Z,2026-06-14T15:56:38.444Z,2026-06-14T15:56:38.444Z,2026-06-14T15:56:38.444Z,集合と位相,斎藤毅,[object Object],数学,集合;位相,unread,,false
bc4cnp8cp,2026-06-14T15:49:49.572Z,2026-06-14T15:56:06.838Z,2026-06-14T15:56:06.838Z,2026-06-14T15:56:06.838Z,マーケティングの力,恩蔵直人・坂下玄哲,[object Object],経営学,マーケティング;経営学,unread,,false
l2q1wu59c8d,2026-05-28T05:05:58.887Z,2026-05-28T05:05:58.887Z,2026-05-28T05:05:58.887Z,2026-05-28T05:05:58.887Z,応仁の乱,呉座勇一,[object Object],歴史学,日本史;応仁の乱;,unread,,false
3hvtylslaa5,2026-05-28T05:04:45.453Z,2026-05-28T05:04:45.453Z,2026-05-28T05:04:45.453Z,2026-05-28T05:04:45.453Z,チョコレートの世界史,武田尚子,[object Object],歴史学,世界史;チョコレート;,unread,,false
cc40qrb_rux,2026-05-26T07:31:15.701Z,2026-05-26T07:32:06.346Z,2026-05-26T07:32:06.346Z,2026-05-26T07:32:06.346Z,知識経済の形成,ジョエル・モキイア,[object Object],経済学,経済学;経済史;知識,unread,,false
mg3oz_s3rc,2026-05-26T07:30:19.217Z,2026-05-26T07:32:06.34Z,2026-05-26T07:32:06.34Z,2026-05-26T07:32:06.34Z,企業戦略論,ジェイ・B・バーニー,[object Object],経営学,経営学;競争戦略論,unread,,false
o3ig9t-ssepd,2026-05-26T07:29:41.339Z,2026-05-26T07:32:06.329Z,2026-05-26T07:32:06.329Z,2026-05-26T07:32:06.329Z,ゲーム理論,岡田 章,[object Object],経済学,経済学;ゲーム理論,unread,,false
fqaesi6q_l5c,2026-05-26T07:25:36.320Z,2026-05-26T07:32:06.343Z,2026-05-26T07:32:06.343Z,2026-05-26T07:32:06.343Z,組織の経済学,伊藤　秀史，小林　創，宮原　泰之,[object Object],経済学,経済学;産業組織論;経営学,unread,,false
vswbx80-i3uo,2026-05-26T07:23:59.596Z,2026-05-26T07:32:06.348Z,2026-05-26T07:32:06.348Z,2026-05-26T07:32:06.348Z,統計的学習の基礎,"Trevor Hastie, Robert Tibshirani, Jerome Friedman",[object Object],数学,統計的学習;数学;機械学習,unread,,false
1xbvkr04s8y,2026-05-25T04:08:03.283Z,2026-05-25T05:49:38.597Z,2026-05-25T05:49:38.597Z,2026-05-25T05:49:38.597Z,日本語の作文技術,本多勝一,[object Object],語学,日本語;文章術;ロングセラー,unread,,false
1e6mllcwowgb,2026-05-25T04:08:03.283Z,2026-05-25T05:49:38.472Z,2026-05-25T05:49:38.472Z,2026-05-25T05:49:38.472Z,現代数理統計学,竹村彰通,[object Object],数学,統計学;数理統計;教科書,unread,,true
gygtjodwa,2026-05-25T04:08:03.283Z,2026-05-25T05:49:38.609Z,2026-05-25T05:49:38.609Z,2026-05-25T05:49:38.609Z,現代数理統計学の基礎,久保川達也,[object Object],数学,統計学;共立出版;基礎,unread,,false
u2dqfe88aac,2026-05-25T04:08:03.283Z,2026-05-25T05:49:38.506Z,2026-05-25T05:49:38.506Z,2026-05-25T05:49:38.506Z,データ解析のための数理統計入門,久保川達也,[object Object],数学,データ解析;統計学;入門,unread,,true
1na-dbj12zsn,2026-05-25T04:08:03.283Z,2026-05-25T05:49:38.495Z,2026-05-25T05:49:38.495Z,2026-05-25T05:49:38.495Z,ミクロ経済学の力,神取道宏,[object Object],経済学,ミクロ経済学;理論;教科書,unread,,true
wzocn_48tu8n,2026-05-25T04:08:03.283Z,2026-05-25T05:49:38.641Z,2026-05-25T05:49:38.641Z,2026-05-25T05:49:38.641Z,モダンオペレーティングシステム 第5版 上,アンドリュー・S・タネンバウム / ハーバート・ボス,[object Object],コンピュータサイエンス,OS;オペレーティングシステム;技術書,unread,,true
io8bfeuc5in,2026-05-25T04:08:03.283Z,2026-05-25T05:49:38.459Z,2026-05-25T05:49:38.459Z,2026-05-25T05:49:38.459Z,世界標準の経営理論,入山章栄,[object Object],経営学,ビジネス;経営理論;MBA,unread,,false
05d7cw6dpd8,2026-05-25T04:08:03.283Z,2026-05-25T05:49:38.599Z,2026-05-25T05:49:38.599Z,2026-05-25T05:49:38.599Z,C++実践プログラミング,Steve Oualline,[object Object],プログラミング,C++;O'Reilly;開発,unread,,false
0dedzx5_pf,2026-05-25T04:08:03.283Z,2026-05-25T05:49:38.548Z,2026-05-25T05:49:38.548Z,2026-05-25T05:49:38.548Z,LINUXプログラミングインタフェース,Michael Kerrisk,[object Object],プログラミング,Linux;API;システムプログラミング,unread,,false
