id,createdAt,updatedAt,publishedAt,revisedAt,title,author,cover,genre,tag,status,rating,isFavorable
vbw2ti_4y4,2026-06-14T15:57:12.598Z,2026-06-14T15:57:12.598Z,2026-06-14T15:57:12.598Z,2026-06-14T15:57:12.598Z,財務会計の思考法,田口聡志,[object Object],経営学,財務会計;経営学,unread,,false
bc4cnp8cp,2026-06-14T15:49:49.572Z,2026-06-14T15:56:06.838Z,2026-06-14T15:56:06.838Z,2026-06-14T15:56:06.838Z,マーケティングの力,恩蔵直人・坂下玄哲,[object Object],経営学,マーケティング;経営学,unread,,false
mg3oz_s3rc,2026-05-26T07:30:19.217Z,2026-05-26T07:32:06.34Z,2026-05-26T07:32:06.34Z,2026-05-26T07:32:06.34Z,企業戦略論,ジェイ・B・バーニー,[object Object],経営学,経営学;競争戦略論,unread,,false
io8bfeuc5in,2026-05-25T04:08:03.283Z,2026-05-25T05:49:38.459Z,2026-05-25T05:49:38.459Z,2026-05-25T05:49:38.459Z,世界標準の経営理論,入山章栄,[object Object],経営学,ビジネス;経営理論;MBA,unread,,false
4zs-jocpmdf4,2026-05-25T04:08:03.283Z,2026-05-26T05:25:19.472Z,2026-05-26T05:25:19.472Z,2026-05-26T05:25:19.472Z,イノベーションのDNA,クレイトン・クリステンセン/ジェフリー・ダイアー/ハル・グレガーセン,[object Object],経営学,イノベーション;破壊的創造;スキル,unread,,false
dt7_yp4dc,2026-05-25T04:08:03.283Z,2026-05-26T05:25:19.468Z,2026-05-26T05:25:19.468Z,2026-05-26T05:25:19.468Z,戦略経営論 (第3版),マイケル・A・ヒット/R・デュエーン・アイルランド/ロバート・E・ホスキソン,[object Object],経営学,経営戦略;MBA;グローバリゼーション;テキスト,unread,,false
tamsizwo7mo,2026-05-25T04:08:03.283Z,2026-05-26T05:25:19.447Z,2026-05-26T05:25:19.447Z,2026-05-26T05:25:19.447Z,企業進化論,野中郁次郎,[object Object],経営学,情報創造;組織論;マネジメント;日経ビジネス人文庫,unread,,false
6tbf9ox47,2026-05-25T04:08:03.283Z,2026-05-26T05:25:19.506Z,2026-05-26T05:25:19.506Z,2026-05-26T05:25:19.506Z,この一冊で全部わかる ビジネスモデル,根来龍之/富樫佳織/足代訓史,[object Object],経営学,ビジネスモデル;図鑑;入門,unread,,false
l_z93dcj4,2026-05-25T04:08:03.283Z,2026-05-26T05:25:19.479Z,2026-05-26T05:25:19.479Z,2026-05-26T05:25:19.479Z,ビジネスモデル・イノベーション,野中郁次郎/徳岡晃一郎,[object Object],経営学,イノベーション;知識創造;戦略論,unread,,false
k6h-ojdspq67,2026-05-25T04:08:03.283Z,2026-05-26T05:25:19.517Z,2026-05-26T05:25:19.517Z,2026-05-26T05:25:19.517Z,経営戦略入門,網倉久永/新宅純二郎,[object Object],経営学,経営戦略;入門;マネジメント・テキスト,unread,,false
